node_id,zone_id,ctrl_type,node_type,activity_type,x_coord,y_coord,production,attraction
1125,,0,,poi,-77.02451092,38.90433686,0.757564014,0.757564014
1126,,0,,poi,-77.02484348,38.90374597,12.50992431,12.50992431
1127,,0,,poi,-77.02542271,38.90442398,3.62318606,3.62318606
1128,,0,,poi,-77.02638724,38.90439667,1.54854997,1.54854997
1129,,0,,poi,-77.02300952,38.90504648,62.34715238,62.34715238
1130,,0,,poi,-77.02671834,38.90439112,4.124515187,4.124515187
1131,,0,,poi,-77.02483472,38.90442297,7.285983311,7.285983311
1132,,0,,poi,-77.02528087,38.90442268,4.957588032,4.957588032
1133,,0,,poi,-77.02672342,38.90430854,1.132632472,1.132632472
1134,,0,,poi,-77.02650152,38.90442388,4.953874483,4.953874483
1135,,0,,poi,-77.02625665,38.90458631,14.70813009,14.70813009
1136,,0,,poi,-77.03701826,38.90097564,21.72054862,21.72054862
1137,,0,,poi,-77.03797467,38.9009856,35.85802999,1.757746568
1138,,0,,poi,-77.03696443,38.90050501,14.92475378,14.92475378
1139,,0,,poi,-77.0375622,38.90057546,66.53827464,3.261680129
1140,,0,,poi,-77.0375017,38.901081,12.54808237,12.54808237
1141,,0,,poi,-77.03733679,38.90218198,5.622313319,5.622313319
1142,,0,,poi,-77.03705875,38.90221166,2.338298076,2.338298076
1143,,0,,poi,-77.03684132,38.90244865,0.007642376,0.007642376
1144,,0,,poi,-77.03800103,38.90213466,26.6620446,26.6620446
1145,,0,,poi,-77.0371491,38.90221217,2.48436434,2.48436434
1146,,0,,poi,-77.03811778,38.90167275,35.42984164,1.736756943
1147,,0,,poi,-77.0375346,38.90218084,7.987844088,7.987844088
1148,,0,,poi,-77.03755794,38.90168667,41.35532049,41.35532049
1149,,0,,poi,-77.03696799,38.90211638,10.92773712,10.92773712
1150,,0,,poi,-77.03924169,38.90401827,13.68566624,13.68566624
1151,,0,,poi,-77.03887871,38.90399851,13.52722148,13.52722148
1152,,0,,poi,-77.03714714,38.90396672,1.112826877,1.112826877
1153,,0,,poi,-77.0377648,38.9040463,9.195985392,9.195985392
1154,,0,,poi,-77.03899902,38.90287782,39.30769105,1.926847601
1155,,0,,poi,-77.03810452,38.90408538,20.1509552,20.1509552
1156,,0,,poi,-77.03745519,38.90431974,43.74189471,43.74189471
1157,,0,,poi,-77.03698679,38.90391996,6.185534931,6.185534931
1158,,0,,poi,-77.03946008,38.90443463,72.08122565,72.08122565
1159,,0,,poi,-77.03972631,38.90399218,1.603284454,7.69576538
1160,,0,,poi,-77.03928855,38.90336593,58.45320015,2.865352948
1161,,0,,poi,-77.0369548,38.90351883,6.794556981,6.794556981
1162,,0,,poi,-77.03809718,38.90347856,13.74632087,13.74632087
1163,,0,,poi,-77.0378847,38.90289623,9.410133389,9.410133389
1164,,0,,poi,-77.03703663,38.90292156,21.5757202,21.5757202
1165,,0,,poi,-77.03697032,38.90335958,2.673755343,2.673755343
1166,,0,,poi,-77.03817582,38.90300781,18.3226512,18.3226512
1167,,0,,poi,-77.03742646,38.90293352,10.43259724,10.43259724
1168,,0,,poi,-77.03752043,38.90341041,27.77734718,27.77734718
1169,,0,,poi,-77.03696161,38.90323805,5.128411291,5.128411291
1170,,0,,poi,-77.03767523,38.90291187,6.830454623,6.830454623
1171,,0,,poi,-77.03811872,38.90449718,14.60662641,14.60662641
1172,,0,,poi,-77.03695203,38.90425153,7.20799878,7.20799878
1173,,0,,poi,-77.03697658,38.90451881,0.999859637,38.09465217
1174,,0,,poi,-77.03698286,38.90406709,5.309137346,5.309137346
1175,,0,,poi,-77.04090376,38.90199312,0.230347683,5.505309613
1176,,0,,poi,-77.04206674,38.90140181,0.052958439,1.265706696
1177,,0,,poi,-77.04212092,38.90185484,0.282122092,6.742717989
1178,,0,,poi,-77.04549703,38.90181653,0.227979622,5.448712972
